#				Inclusive		Exclusive	
#range	Ebeam	dE	Thcm	Xsec[mb/sr]	dXsec	Xsec[mb/sr]	dXsec
290	5.83441	0.277735	2	0	0	0	0
290	5.83441	0.277735	6	0	0	0	0
290	5.83441	0.277735	10	0	0	0	0
290	5.83441	0.277735	14	0	0	0	0
290	5.83441	0.277735	18	0	0	0	0
290	5.83441	0.277735	22	0	0	0	0
290	5.83441	0.277735	26	48.0460583301638	10.0182925183282	4.17791811566642	2.9542267891783
290	5.83441	0.277735	30	126.37203351553	15.2133979860981	1.83147874660188	1.83147874660188
290	5.83441	0.277735	34	80.2428442134673	11.4632634590668	4.9128271967429	2.83642078203951
290	5.83441	0.277735	38	38.6725893574621	7.58431948405717	2.97481456595862	2.10350625366217
290	5.83441	0.277735	42	16.4226119132431	4.74079749405547	1.36855099277026	1.36855099277026
290	5.83441	0.277735	46	6.36513750385502	2.84657860364902	0	0
290	5.83441	0.277735	50	7.17247685760682	2.92815172298989	1.19541280960114	1.19541280960114
290	5.83441	0.277735	54	6.79149637655634	2.7726170765685	1.13191606275939	1.13191606275939
290	5.83441	0.277735	58	1.07982003047202	1.07982003047202	0	0
290	5.83441	0.277735	62	3.11141675070586	1.79637646102003	0	0
290	5.83441	0.277735	66	0	0	0	0
290	5.83441	0.277735	70	0	0	0	0
290	5.83441	0.277735	74	1.90528609420072	1.3472373236398	0	0
290	5.83441	0.277735	78	0.936197415364447	0.936197415364447	0	0
290	5.83441	0.277735	82	0	0	0	0
290	5.83441	0.277735	86	0.917975362365351	0.917975362365351	0	0
290	5.83441	0.277735	90	1.83147840104749	1.29504753477269	0	0
290	5.83441	0.277735	94	0	0	0	0
290	5.83441	0.277735	98	0	0	0	0
290	5.83441	0.277735	102	0	0	0	0
290	5.83441	0.277735	106	0	0	0	0
290	5.83441	0.277735	110	0	0	0	0
290	5.83441	0.277735	114	0	0	0	0
290	5.83441	0.277735	118	1.03713855647574	1.03713855647574	0	0
290	5.83441	0.277735	122	0	0	0	0
290	5.83441	0.277735	126	0	0	0	0
290	5.83441	0.277735	130	0	0	1.19541215400491	1.19541215400491
290	5.83441	0.277735	134	1.27302669728196	1.27302669728196	1.27302669728196	1.27302669728196
290	5.83441	0.277735	138	2.73709999872068	1.93541709459539	0	0
290	5.83441	0.277735	142	0	0	0	0
290	5.83441	0.277735	146	0	0	0	0
290	5.83441	0.277735	150	9.15738336638627	4.09531004481507	0	0
290	5.83441	0.277735	154	0	0	0	0
290	5.83441	0.277735	158	2.4445322540905	2.4445322540905	0	0
290	5.83441	0.277735	162	0	0	0	0
290	5.83441	0.277735	166	0	0	0	0
290	5.83441	0.277735	170	5.27351341690538	5.27351341690538	0	0
290	5.83441	0.277735	174	0	0	0	0

